--- 評估結果總結 ---
True Positive (TP): 296
True Negative (TN): 1410
False Positive (FP): 0
False Negative (FN): 0

==============================

--- True Positives (TP): 296 ---
(系統正確標記出的名字)
格式: [原始詞] -> [標記結果]
----------------------------------
「周建國」 -> 標記為 「人名」
「李雅婷」 -> 標記為 「人名」
「張育誠」 -> 標記為 「人名」
「陳建國」 -> 標記為 「人名」
「林麗麗」 -> 標記為 「人名」
「趙玉珍」 -> 標記為 「人名」
「陳玉珍」 -> 標記為 「人名」
「李麗麗」 -> 標記為 「人名」
「陳冠廷」 -> 標記為 「人名」
「趙麗麗」 -> 標記為 「人名」
「周雅婷」 -> 標記為 「人名」
「陳玉珍」 -> 標記為 「人名」
「徐小明」 -> 標記為 「人名」
「徐育誠」 -> 標記為 「人名」
「李建國」 -> 標記為 「人名」
「李美華」 -> 標記為 「人名」
「陳玉珍」 -> 標記為 「人名」
「趙冠廷」 -> 標記為 「人名」
「陳麗麗」 -> 標記為 「人名」
「林建國」 -> 標記為 「人名」
「陳美華」 -> 標記為 「人名」
「李雅婷」 -> 標記為 「人名」
「周小明」 -> 標記為 「人名」
「李麗麗」 -> 標記為 「人名」
「黃小明」 -> 標記為 「人名」
「李美華」 -> 標記為 「人名」
「王冠廷」 -> 標記為 「人名」
「林大仁」 -> 標記為 「人名」
「王小明」 -> 標記為 「人名」
「王育誠」 -> 標記為 「人名」
「林建國」 -> 標記為 「人名」
「黃小明」 -> 標記為 「人名」
「周麗麗」 -> 標記為 「人名」
「陳雅婷」 -> 標記為 「人名」
「徐志強」 -> 標記為 「人名」
「張玉珍」 -> 標記為 「人名」
「陳冠廷」 -> 標記為 「人名」
「李玉珍」 -> 標記為 「人名」
「李美華」 -> 標記為 「人名」
「李雅婷」 -> 標記為 「人名」
「張建國」 -> 標記為 「人名」
「陳美華」 -> 標記為 「人名」
「趙大仁」 -> 標記為 「人名」
「林美華」 -> 標記為 「人名」
「吳志強」 -> 標記為 「人名」
「李小明」 -> 標記為 「人名」
「吳小明」 -> 標記為 「人名」
「張小明」 -> 標記為 「人名」
「黃建國」 -> 標記為 「人名」
「周冠廷」 -> 標記為 「人名」
「林志強」 -> 標記為 「人名」
「徐建國」 -> 標記為 「人名」
「徐雅婷」 -> 標記為 「人名」
「趙玉珍」 -> 標記為 「人名」
「周美華」 -> 標記為 「人名」
「黃玉珍」 -> 標記為 「人名」
「林麗麗」 -> 標記為 「人名」
「王美華」 -> 標記為 「人名」
「張冠廷」 -> 標記為 「人名」
「趙玉珍」 -> 標記為 「人名」
「吳大仁」 -> 標記為 「人名」
「張玉珍」 -> 標記為 「人名」
「周麗麗」 -> 標記為 「人名」
「周冠廷」 -> 標記為 「人名」
「李大仁」 -> 標記為 「人名」
「陳小明」 -> 標記為 「人名」
「黃志強」 -> 標記為 「人名」
「黃大仁」 -> 標記為 「人名」
「林建國」 -> 標記為 「人名」
「李美華」 -> 標記為 「人名」
「陳雅婷」 -> 標記為 「人名」
「林大仁」 -> 標記為 「人名」
「吳玉珍」 -> 標記為 「人名」
「林麗麗」 -> 標記為 「人名」
「周雅婷」 -> 標記為 「人名」
「林美華」 -> 標記為 「人名」
「趙建國」 -> 標記為 「人名」
「林育誠」 -> 標記為 「人名」
