--- 評估結果總結 ---
True Positive (TP): 265
True Negative (TN): 1191
False Positive (FP): 0
False Negative (FN): 0

==============================

--- True Positives (TP): 265 ---
(系統正確標記出的組織名稱)
格式: [原始詞] -> [標記結果]
----------------------------------
「中華資安聯盟」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「宏碁股份有限公司」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「國防大學資安中心」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「台灣資安實驗室」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「中華資安聯盟」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「高雄智慧安全院」 -> 標記為「組織」
「澎湖科技大學」 -> 標記為「組織」
「華碩電腦公司」 -> 標記為「組織」
「工研院資訊組」 -> 標記為「組織」
「南部資安聯盟」 -> 標記為「組織」
「遠傳電信」 -> 標記為「組織」
